"lon","lat"
23.934543,54.499896
12.346168,51.344747
12.341795,51.353057
17.646326,59.165021
11.940398,57.765769
8.945022,50.081718
10.400434,63.377492
13.408118,48.909809
6.478972,50.755028
9.046211,50.006855
9.138908,47.669895
6.467686,50.727058
10.237473,50.040527
6.154575,51.237095
9.176027,50.439384
6.415758,51.268616
13.006078,57.80509
11.440405,59.130603
6.32113,50.947044
17.925989,59.563088
10.000711,59.184902
16.190426,59.751583
9.022865,50.01844
6.489229,50.735531
10.864396,59.937743
10.217744,59.210726
12.608408,52.160015
9.831908,59.235861
12.912635,57.696572
17.439363,59.197582
14.150406,57.763253
10.373773,48.873989
6.457944,50.813854
10.874816,59.940803
17.00589,58.760464
14.175739,57.769568
17.530299,59.536473
15.968731,58.519184
6.413097,50.8745
6.468866,51.24424
6.467857,50.800617
10.254694,50.042027
10.373774,48.823994
11.489811,53.587715
9.503946,51.297047
10.875337,59.940497
12.863188,51.004044
12.913354,57.703743
11.699721,58.438903
10.401476,63.377508
4.895132,49.876348
9.0693,50.199154
8.93087,56.246751
8.945022,50.081718
8.676796,50.175579
11.132833,53.168941
6.432838,50.861012
6.400952,50.607265
6.213026,50.893127
17.646344,59.165058
17.649973,59.162507
16.779236,60.635026
16.649375,65.660024
6.715086,58.667148
10.471344,52.308689
16.459499,59.388758
14.907919,59.327443
8.783664,62.975316
10.432908,59.276061
14.881132,59.234749
10.394775,63.383308
10.373774,48.823994
8.912101,50.446999
9.030146,50.024483
6.445627,50.833725
21.048928,64.701043
16.459741,59.388607
9.478326,50.248249
9.022865,50.01844
10.294313,52.680359
10.400075,63.377133
11.734106,48.951366
9.582566,49.996552
-3.54383,56.57519
12.463109,59.661772
8.847857,49.846893
12.854423,52.463036
15.971031,58.515624
6.459618,50.629429
6.24238,51.334686
16.459741,59.388607
13.234359,53.56712
11.07603,59.862769
6.48622,50.767395
13.584219,52.529915
17.647359,59.164261
10.221748,50.005367
10.514655,63.433764
9.005227,47.760025
10.471344,52.308689
6.45891,50.700943
17.648994,59.164169
9.478326,50.248249
11.976901,51.209923
16.459355,59.388698
17.648158,59.164109
17.647736,59.16422
16.797373,60.633687
10.322428,48.5149
12.019606,51.234634
11.420938,59.127063
17.646335,59.165021
18.20568,59.210386
10.254694,50.042027
-4.0217,56.369
-3.52955,56.58435
7.918937,58.088236
11.671083,63.440875
13.293757,52.524109
16.46002,59.388598
16.046822,59.495126
22.175515,65.747703
14.615724,59.311831
18.212381,59.601374
17.647763,59.164215
6.481977,50.747265
6.114922,51.231506
6.128139,51.233116
6.352563,50.908333
6.482127,50.757744
9.0693,50.199154
17.671811,62.434177
16.053837,59.498938
9.033948,50.016579
9.043797,50.00613
8.481359,50.040936
11.631952,63.441879
10.874816,59.940803
13.455248,52.459251
6.347694,50.927494
8.658707,50.177235
-3.55026,56.57331
10.624105,62.121853
13.581762,52.527893
-3.53114,56.58343
6.716587,58.664939
11.051227,59.263465
20.214816,63.850946
16.273116,59.521158
13.442686,59.515416
17.649919,59.162949
12.032529,58.353112
6.362457,50.8993
